,0,1,2,3
0,4.628101883182451e-10,6.530250971740337e-10,8.803756262865258e-10,9.378133151548981e-10
1,1.3910066048691911e-09,5.701615652099773e-09,6.176628448085887e-09,5.962175985136134e-09
2,6.176628448085887e-10,9.037950829526234e-09,2.788404952967394e-08,9.949595954868318e-09
3,2.788404952967394e-08,7.356238612533527e-08,8.38007453055498e-08,5.7016156520997726e-08
4,8.38007453055498e-08,7.356238612533527e-07,5.701615652099772e-07,3.103970893990217e-07
5,8.483500062824453e-08,9.149410868296975e-08,3.103970893990217e-07,7.289153935889062e-07
6,3.103970893990217e-07,6.524811985901063e-07,7.356238612533527e-07,3.9872543894394436e-07
7,7.356238612533527e-08,9.408301581652757e-07,9.037950829526232e-07,4.302995433972744e-07
8,9.037950829526232e-06,3.987254389439444e-06,2.3679649938481226e-06,7.835932840300331e-07
9,9.408301581652757e-07,3.987254389439444e-06,9.408301581652757e-07,9.091124409697872e-07
10,1.3910066048691911e-09,6.985830152234696e-09,4.628101883182451e-10,5.335401659539036e-09
11,1.3910066048691911e-09,3.1039708939902174e-08,9.141825139786807e-09,3.3343532424467804e-08
12,5.903557832034977e-09,8.38007453055498e-08,8.38007453055498e-09,9.149410868296975e-08
13,1.9457565230955995e-08,2.619093813319437e-07,3.910000830117767e-08,2.193705923923173e-07
14,8.51764517612479e-07,7.17096275625652e-07,6.176628448085886e-07,5.749452002682751e-07
15,9.373184833770157e-07,8.412372137932061e-07,3.1039708939902167e-06,6.250725455775856e-07
16,7.144734798569031e-07,6.897952573113879e-07,7.663840969934833e-08,3.169979109392807e-06
17,8.412372137932061e-07,2.3679649938481226e-06,9.037950829526232e-07,3.1039708939902167e-06
18,7.356238612533527e-07,7.738015692191796e-08,2.3679649938481226e-06,8.564233777446702e-07
19,3.069577740416788e-07,4.302995433972744e-07,4.302995433972744e-07,5.484517811116098e-07
20,3.622519050979249e-08,5.130934142390841e-08,4.6281018831824506e-08,5.130934142390841e-08
21,1.391006604869191e-07,9.37813315154898e-08,8.483500062824453e-09,9.206889522842699e-08
22,1.575495963756786e-07,1.361963810388556e-07,5.7016156520997726e-08,-0.4122741796401552
23,4.707737841702448e-07,5.990156906881891e-07,8.505938323174811e-07,8.741253697324411e-07
24,8.420714146030177e-07,2.043259810194187e-06,5.701615652099772e-06,3.9038461046401743e-07
25,6.709381015710059e-07,5.749452002682751e-07,3.395392624557731e-07,5.726939314251258e-07
26,3.157763835966719e-07,9.933855203595334e-07,5.753432342076436e-07,4.302995433972744e-07
27,1.7574354280313549e-07,4.4739884775036546e-06,6.104202117105447e-07,9.812442536444095e-07
28,7.388185580147439e-07,5.4881365226662805e-06,4.302995433972744e-06,7.744147629448367e-06
29,4.4739884775036546e-06,5.488136522666281e-07,4.302995433972744e-07,2.8812059136963943e-06
30,5.130934142390841e-08,5.130934142390841e-08,3.622519050979249e-08,3.632557327418176e-08
31,9.378133151548982e-09,-0.4122741796401552,5.130934142390841e-08,6.361533646288621e-08
32,0.4365234016870705,0.8772582035984474,0.6204012781321583,0.6436999495153959
33,-0.4122741796401552,3.256412858706311e-07,9.384068312423267e-08,8.159994716924471e-08
34,9.162082739209336e-07,5.721389139301281e-07,1.94361819337265e-06,9.905653078469994e-07
35,3.9038461046401743e-07,9.454587694855374e-07,3.157763835966719e-07,7.463683362051687e-07
36,3.2564128587063113e-06,7.687241534495788e-07,5.488136522666281e-07,5.749452002682751e-07
37,5.014404451738787e-07,4.658875770178456e-06,6.668482675727762e-06,2.53057409474414e-06
38,1.8502124173882565e-06,7.738015692191795e-06,7.738015692191795e-06,1.0592340667254454e-05
39,5.1672031568808764e-06,7.738015692191795e-06,6.234431170802999e-06,1.6816027340982447e-05
40,9.378133151548982e-09,7.4583694790502e-08,5.335401659539036e-08,5.335401659539036e-08
41,9.378133151548982e-09,3.088048606296032e-07,8.741253697324412e-09,2.1311392322603156e-07
42,2.0448674978555033e-07,2.864754650794411e-07,-0.4122741796401552,5.558647186259431e-07
43,3.807748454933566e-07,7.024833133025215e-07,2.635499830036278e-07,6.40387508339218e-07
44,8.91843293588053e-08,4.330975420360029e-07,5.13673325434512e-07,5.703389760887603e-07
45,9.977099893858338e-08,5.073262643726555e-07,3.920084296404932e-06,1.7953315564467223e-06
46,5.777249291318375e-07,3.299829781422764e-06,7.89074716134612e-07,3.944190543325878e-06
47,6.111256781382489e-07,8.491178722722652e-06,8.660739010840709e-06,5.69347994902855e-06
48,7.687241534495788e-06,1.7074071465961183e-05,7.909390700628002e-06,8.491178722722651e-05
49,6.115590030256867e-05,6.115590030256867e-05,7.738015692191795e-05,7.791759495534567e-05
50,5.335401659539036e-08,7.433948033847939e-08,3.622519050979249e-07,7.942842008871297e-08
51,7.504202886234654e-08,6.491193296681193e-08,7.504202886234654e-08,3.946470725926343e-08
52,3.088048606296032e-08,8.922367933125932e-08,6.22966271783057e-08,8.634866840523724e-08
53,8.786853102126436e-07,7.512395308685946e-07,8.215664622911185e-08,8.303241245499139e-07
54,2.044867497855503e-06,2.450648173043087e-06,5.4222230040066005e-06,1.948634061373676e-06
55,8.282665765346862e-06,9.091124409697872e-06,3.1191463177735796e-06,5.886141915471703e-06
56,9.586211450080243e-07,6.525870143537735e-06,2.4338901948211725e-05,6.730914392685571e-06
57,5.7421025130445325e-06,3.668621245939733e-05,3.62014785468464e-05,5.167203156880876e-05
58,4.733039610798552e-05,7.909390700628001e-05,2.0783718218501335e-05,0.00026660544760126
59,0.00016816027340982447,0.00016816027340982447,1.6816027340982447e-05,0.0010509066460555351
60,1.727119858420923e-07,1.975201873732447e-07,5.335401659539036e-07,3.088048606296032e-07
61,1.727119858420923e-07,9.525410802871887e-08,9.405903299417833e-09,3.088048606296032e-07
62,8.586337537049612e-08,8.564089511176821e-07,7.730238715120081e-08,3.972240565121792e-07
63,1.7271198584209228e-06,4.824011892958314e-06,6.491193296681192e-07,1.5987680204632485e-06
64,6.22966271783057e-07,3.944190543325878e-06,1.697812177881659e-05,1.6162622913669426e-05
65,1.7953315564467223e-06,7.431819844744922e-06,1.8693194493680457e-05,8.803870289507e-06
66,4.161412847561367e-05,5.536424916898331e-05,1.6170573107817323e-05,5.257995134860087e-05
67,0.00019880654955054105,0.00010509066460555352,0.0001492694413737842,0.00010509066460555352
68,9.304842281451144e-05,0.0010509066460555351,3.433109826240062e-05,0.0010509066460555351
69,0.0008787476563050446,0.005167203156880876,0.005509424005455882,0.01050906646055535
70,3.088048606296032e-07,7.142452941432605e-08,1.7271198584209228e-06,7.142452941432605e-08
71,3.972240565121792e-07,5.467129161136623e-07,5.335401659539036e-07,8.092396861841136e-08
72,1.7271198584209228e-06,4.854342751507262e-07,1.727119858420923e-07,3.4510458336681126e-07
73,9.547919599579059e-07,8.831167955382206e-07,1.1319364346455733e-06,8.831167955382206e-07
74,4.682847581769716e-07,3.125789382995973e-06,5.1761809910409505e-06,7.4119296771604815e-06
75,8.831167955382206e-06,1.0509066460555352e-05,1.9258863773181317e-06,1.0509066460555352e-05
76,8.403811078639374e-05,0.00010509066460555352,6.902639318166885e-06,0.00010509066460555352
77,9.020545055394389e-05,0.0010509066460555351,8.747596219807626e-05,0.0010509066460555351
78,0.0006876728343862886,0.01050906646055535,0.00837347147124162,0.009438017573936008
79,0.003074172772790207,0.0026660544760125997,0.0031322728345698544,0.1050906646055535
80,5.558647186259431e-07,1.575495963756786e-07,7.142452941432604e-07,6.304560479499149e-07
81,5.558647186259431e-07,6.491193296681192e-07,7.46027088134905e-08,3.088048606296032e-07
82,7.142452941432605e-08,2.6252867747644665e-06,3.1072652741818507e-07,6.708989365606834e-07
83,4.397131120347276e-06,7.678108478266583e-06,3.0938157140467414e-07,7.453164659716639e-06
84,8.831167955382206e-06,1.880861330554318e-05,7.513808851107594e-07,2.4821581310328875e-05
85,6.459406743617632e-06,0.00010509066460555352,6.525870143537735e-06,0.00010509066460555352
86,0.00010366509426969007,0.0010509066460555351,0.0004467021502590116,0.0009034840950802175
87,0.0007580916612626421,0.008302307125636255,0.00044667642643320387,0.01050906646055535
88,0.00741192967716048,0.06886738210910702,0.008787476563050445,0.1050906646055535
89,0.034783920510768195,0.06886738210910702,0.16771095562585647,1.050906646055535
90,2.159728914089495e-06,7.142452941432604e-07,5.558647186259431e-06,4.3021824425124055e-06
91,7.46027088134905e-07,8.831167955382206e-07,1.727119858420923e-07,7.142452941432604e-07
92,7.142452941432604e-07,1.0509066460555352e-06,6.4911932966811916e-06,6.4911932966811916e-06
93,7.648500223245716e-07,1.0509066460555352e-05,1.9037641500142412e-06,8.831167955382206e-06
94,8.831167955382206e-05,0.00010509066460555352,5.88265531461956e-05,8.831167955382206e-05
95,0.00019036229690421572,0.0010509066460555351,7.431819844744922e-05,0.0007431819844744921
96,0.008014826156378649,0.01050906646055535,0.008201080641627731,0.006241621276339012
97,0.062416212763390114,0.1050906646055535,0.0051444528658598394,0.0741192967716048
98,0.2092212948775849,1.050906646055535,0.0784702004360115,0.8201260421852382
99,0.312799124341151,0.4465385296502249,0.5090664605553488,0.06268582215699192
